date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-06-03,KXMLBGAME-26JUN032138COLLAA,Los Angeles Angels,Colorado Rockies,Los Angeles Angels,Los Angeles Angels,1,2,-1.5,Los Angeles Angels,6,8.5,0.565,0.435,yes
2026-06-03,KXMLBGAME-26JUN032005ATHCHC,Chicago Cubs,Oakland Athletics,Chicago Cubs,Oakland Athletics,0,2,-1.5,Chicago Cubs,8,8.5,0.555,0.445,no
2026-06-03,KXMLBGAME-26JUN032010PITHOU,Houston Astros,Pittsburgh Pirates,Houston Astros,Houston Astros,1,1,1.5,Pittsburgh Pirates,3,8,0.425,0.575,yes
2026-06-03,KXMLBGAME-26JUN031945TEXSTL,St. Louis Cardinals,Texas Rangers,Texas Rangers,St. Louis Cardinals,0,-2,1.5,Texas Rangers,4,8,0.485,0.515,no
2026-06-03,KXMLBGAME-26JUN031940SFMIL,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,San Francisco Giants,0,1,-1.5,Milwaukee Brewers,7,8,0.555,0.445,no
2026-06-03,KXMLBGAME-26JUN031910KCCIN,Cincinnati Reds,Kansas City Royals,Cincinnati Reds,Kansas City Royals,0,2,-1.5,Cincinnati Reds,4,8,0.595,0.415,no
2026-06-03,KXMLBGAME-26JUN031905CLENYY,New York Yankees,Cleveland Guardians,New York Yankees,Cleveland Guardians,0,1,-1.5,New York Yankees,3,7.5,0.555,0.445,no
2026-06-03,KXMLBGAME-26JUN031915TORATL,Atlanta Braves,Toronto Blue Jays,Atlanta Braves,Atlanta Braves,1,4,-1.5,Atlanta Braves,8,8,0.575,0.425,yes
2026-06-03,KXMLBGAME-26JUN031845BALBOS,Boston Red Sox,Baltimore Orioles,Boston Red Sox,Boston Red Sox,1,2,-1.5,Boston Red Sox,8,8.5,0.585,0.415,yes
2026-06-03,KXMLBGAME-26JUN031840SDPHI,Philadelphia Phillies,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,1,1,-1.5,Philadelphia Phillies,5,7.5,0.675,0.325,yes
2026-06-03,KXMLBGAME-26JUN031540NYMSEA,Seattle Mariners,New York Mets,Seattle Mariners,New York Mets,0,4,-1.5,Seattle Mariners,6,7,0.565,0.435,no
2026-06-03,KXMLBGAME-26JUN031340CWSMIN,Minnesota Twins,Chicago White Sox,Minnesota Twins,Chicago White Sox,0,1,-1.5,Minnesota Twins,5,9,0.575,0.425,no
2026-06-03,KXMLBGAME-26JUN031310DETTB,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,Detroit Tigers,0,1,-1.5,Tampa Bay Rays,3,8.5,0.575,0.435,no
